subject,sequence,num_frames
20200709-subject-01,20200709_152843,72
20200709-subject-01,20200709_145132,74
20200709-subject-01,20200709_153420,72
20200709-subject-01,20200709_145446,74
20200709-subject-01,20200709_144429,72
20200709-subject-01,20200709_144608,72
20200709-subject-01,20200709_152716,72
20200709-subject-01,20200709_142802,72
20200709-subject-01,20200709_145743,72
20200709-subject-01,20200709_142517,74
20200709-subject-01,20200709_143125,72
20200709-subject-01,20200709_144357,72
20200709-subject-01,20200709_150144,72
20200709-subject-01,20200709_150243,72
20200709-subject-01,20200709_152930,72
20200709-subject-01,20200709_152332,74
20200709-subject-01,20200709_150524,72
20200709-subject-01,20200709_145656,72
20200709-subject-01,20200709_145837,74
20200709-subject-01,20200709_142408,72
20200709-subject-01,20200709_150326,74
20200709-subject-01,20200709_144854,72
20200709-subject-01,20200709_141754,72
20200709-subject-01,20200709_145915,72
20200709-subject-01,20200709_142211,72
20200709-subject-01,20200709_143957,72
20200709-subject-01,20200709_153506,74
20200709-subject-01,20200709_151632,72
20200709-subject-01,20200709_152624,72
20200709-subject-01,20200709_143626,72
20200709-subject-01,20200709_151032,74
20200709-subject-01,20200709_150449,74
20200709-subject-01,20200709_143047,74
20200709-subject-01,20200709_151543,72
20200709-subject-01,20200709_143211,72
20200709-subject-01,20200709_144137,74
20200709-subject-01,20200709_142642,72
20200709-subject-01,20200709_142321,72
20200709-subject-01,20200709_151724,74
20200709-subject-01,20200709_145038,72
20200709-subject-01,20200709_151148,74
20200709-subject-01,20200709_142926,74
20200709-subject-01,20200709_142446,72
20200709-subject-01,20200709_150613,72
20200709-subject-01,20200709_150949,74
20200709-subject-01,20200709_141931,72
20200709-subject-01,20200709_144313,72
20200709-subject-01,20200709_152541,74
20200709-subject-01,20200709_151948,72
20200709-subject-01,20200709_142553,74
20200709-subject-01,20200709_151110,74
20200709-subject-01,20200709_153148,72
20200709-subject-01,20200709_142853,74
20200709-subject-01,20200709_143008,74
20200709-subject-01,20200709_153011,72
20200709-subject-01,20200709_143747,72
20200709-subject-01,20200709_142123,74
20200709-subject-01,20200709_144202,72
20200709-subject-01,20200709_153241,70
20200709-subject-01,20200709_151335,74
20200709-subject-01,20200709_153322,68
20200709-subject-01,20200709_151757,74
20200709-subject-01,20200709_151502,72
20200709-subject-01,20200709_144929,72
20200709-subject-01,20200709_143531,74
20200709-subject-01,20200709_152420,74
20200709-subject-01,20200709_142240,74
20200709-subject-01,20200709_152056,74
20200709-subject-01,20200709_143428,74
20200709-subject-01,20200709_152506,72
20200709-subject-01,20200709_152757,72
20200709-subject-01,20200709_143340,74
20200709-subject-01,20200709_150052,74
20200709-subject-01,20200709_151904,72
20200709-subject-01,20200709_145401,74
20200709-subject-01,20200709_150906,74
20200709-subject-01,20200709_145544,74
20200709-subject-01,20200709_151836,72
20200709-subject-01,20200709_142022,74
20200709-subject-01,20200709_150654,72
20200709-subject-01,20200709_143257,70
20200709-subject-01,20200709_150735,72
20200709-subject-01,20200709_153103,72
20200709-subject-01,20200709_152240,74
20200709-subject-01,20200709_145959,74
20200709-subject-01,20200709_143826,72
20200709-subject-01,20200709_143703,76
20200709-subject-01,20200709_151246,74
20200709-subject-01,20200709_152143,70
20200709-subject-01,20200709_144658,74
20200709-subject-01,20200709_151415,70
20200709-subject-01,20200709_144056,72
20200709-subject-01,20200709_150413,72
20200709-subject-01,20200709_153548,72
20200709-subject-01,20200709_144814,72
20200813-subject-02,20200813_155434,72
20200813-subject-02,20200813_155243,74
20200813-subject-02,20200813_145802,72
20200813-subject-02,20200813_155517,72
20200813-subject-02,20200813_155758,74
20200813-subject-02,20200813_154659,72
20200813-subject-02,20200813_152253,74
20200813-subject-02,20200813_151007,74
20200813-subject-02,20200813_151236,74
20200813-subject-02,20200813_150456,72
20200813-subject-02,20200813_145532,74
20200813-subject-02,20200813_151954,74
20200813-subject-02,20200813_145612,74
20200813-subject-02,20200813_152513,74
20200813-subject-02,20200813_155129,72
20200813-subject-02,20200813_155852,72
20200813-subject-02,20200813_152608,72
20200813-subject-02,20200813_155553,72
20200813-subject-02,20200813_154234,74
20200813-subject-02,20200813_152326,72
20200813-subject-02,20200813_145418,72
20200813-subject-02,20200813_153339,72
20200813-subject-02,20200813_150535,74
20200813-subject-02,20200813_154808,72
20200813-subject-02,20200813_150823,72
20200813-subject-02,20200813_152107,72
20200813-subject-02,20200813_153911,72
20200813-subject-02,20200813_154450,72
20200813-subject-02,20200813_150911,70
20200813-subject-02,20200813_150418,72
20200813-subject-02,20200813_152028,72
20200813-subject-02,20200813_150308,72
20200813-subject-02,20200813_145731,72
20200813-subject-02,20200813_145341,72
20200813-subject-02,20200813_155058,76
20200813-subject-02,20200813_151041,72
20200813-subject-02,20200813_151822,74
20200813-subject-02,20200813_153659,72
20200813-subject-02,20200813_153728,72
20200813-subject-02,20200813_151925,72
20200813-subject-02,20200813_155356,70
20200813-subject-02,20200813_155206,72
20200813-subject-02,20200813_154848,74
20200813-subject-02,20200813_152431,72
20200813-subject-02,20200813_154408,68
20200813-subject-02,20200813_152143,70
20200813-subject-02,20200813_154204,72
20200813-subject-02,20200813_154335,72
20200813-subject-02,20200813_145456,72
20200813-subject-02,20200813_154917,72
20200813-subject-02,20200813_153956,70
20200813-subject-02,20200813_150940,72
20200813-subject-02,20200813_152802,70
20200813-subject-02,20200813_153839,72
20200813-subject-02,20200813_154304,74
20200813-subject-02,20200813_153416,72
20200813-subject-02,20200813_153233,74
20200813-subject-02,20200813_152215,72
20200813-subject-02,20200813_150228,72
20200813-subject-02,20200813_153045,72
20200813-subject-02,20200813_150346,72
20200813-subject-02,20200813_155922,72
20200813-subject-02,20200813_150150,74
20200813-subject-02,20200813_155021,72
20200813-subject-02,20200813_153453,72
20200813-subject-02,20200813_154623,74
20200813-subject-02,20200813_151309,74
20200813-subject-02,20200813_153619,72
20200813-subject-02,20200813_150714,72
20200813-subject-02,20200813_154526,72
20200813-subject-02,20200813_145951,70
20200813-subject-02,20200813_150056,72
20200813-subject-02,20200813_145653,72
20200813-subject-02,20200813_152723,74
20200813-subject-02,20200813_155717,72
20200813-subject-02,20200813_153011,72
20200813-subject-02,20200813_150024,72
20200813-subject-02,20200813_151204,72
20200813-subject-02,20200813_150640,72
20200813-subject-02,20200813_153802,72
20200813-subject-02,20200813_154029,74
20200813-subject-02,20200813_154945,74
20200813-subject-02,20200813_150747,74
20200813-subject-02,20200813_155633,72
20200813-subject-02,20200813_150608,74
20200813-subject-02,20200813_155314,74
20200813-subject-02,20200813_153152,72
20200813-subject-02,20200813_153307,74
20200813-subject-02,20200813_155953,74
20200813-subject-02,20200813_153115,72
20200813-subject-02,20200813_153544,70
20200813-subject-02,20200813_151117,72
20200813-subject-02,20200813_152401,72
20200813-subject-02,20200813_152926,72
20200813-subject-02,20200813_154103,74
20200820-subject-03,20200820_143359,72
20200820-subject-03,20200820_143655,72
20200820-subject-03,20200820_144100,68
20200820-subject-03,20200820_145255,72
20200820-subject-03,20200820_135400,72
20200820-subject-03,20200820_145113,74
20200820-subject-03,20200820_140724,70
20200820-subject-03,20200820_142129,74
20200820-subject-03,20200820_142802,74
20200820-subject-03,20200820_143923,74
20200820-subject-03,20200820_142319,70
20200820-subject-03,20200820_142909,74
20200820-subject-03,20200820_141550,72
20200820-subject-03,20200820_135913,70
20200820-subject-03,20200820_140606,72
20200820-subject-03,20200820_143951,72
20200820-subject-03,20200820_145223,74
20200820-subject-03,20200820_144800,72
20200820-subject-03,20200820_145150,72
20200820-subject-03,20200820_140008,72
20200820-subject-03,20200820_135727,72
20200820-subject-03,20200820_142529,74
20200820-subject-03,20200820_144721,74
20200820-subject-03,20200820_135508,72
20200820-subject-03,20200820_141443,72
20200820-subject-03,20200820_142944,74
20200820-subject-03,20200820_144829,72
20200820-subject-03,20200820_143043,70
20200820-subject-03,20200820_140252,72
20200820-subject-03,20200820_140223,68
20200820-subject-03,20200820_142253,72
20200820-subject-03,20200820_142017,74
20200820-subject-03,20200820_135941,72
20200820-subject-03,20200820_144554,74
20200820-subject-03,20200820_135441,74
20200820-subject-03,20200820_144515,72
20200820-subject-03,20200820_135617,72
20200820-subject-03,20200820_142608,74
20200820-subject-03,20200820_141222,72
20200820-subject-03,20200820_141856,72
20200820-subject-03,20200820_135323,74
20200820-subject-03,20200820_135250,72
20200820-subject-03,20200820_135648,74
20200820-subject-03,20200820_144158,72
20200820-subject-03,20200820_140116,74
20200820-subject-03,20200820_142158,72
20200820-subject-03,20200820_144338,74
20200820-subject-03,20200820_144032,72
20200820-subject-03,20200820_141409,74
20200820-subject-03,20200820_144240,72
20200820-subject-03,20200820_141708,74
20200820-subject-03,20200820_141150,72
20200820-subject-03,20200820_140350,72
20200820-subject-03,20200820_141522,72
20200820-subject-03,20200820_140927,72
20200820-subject-03,20200820_140532,74
20200820-subject-03,20200820_145358,72
20200820-subject-03,20200820_145035,72
20200820-subject-03,20200820_143125,72
20200820-subject-03,20200820_143850,72
20200820-subject-03,20200820_144414,72
20200820-subject-03,20200820_143504,72
20200820-subject-03,20200820_141002,70
20200820-subject-03,20200820_143539,72
20200820-subject-03,20200820_141826,74
20200820-subject-03,20200820_142833,72
20200820-subject-03,20200820_140454,74
20200820-subject-03,20200820_141338,72
20200820-subject-03,20200820_144644,74
20200820-subject-03,20200820_141752,70
20200820-subject-03,20200820_142727,74
20200820-subject-03,20200820_140320,72
20200820-subject-03,20200820_140648,74
20200820-subject-03,20200820_143330,74
20200820-subject-03,20200820_135810,74
20200820-subject-03,20200820_144936,72
